gene_id,gene_name
ENSG00000225889.9,AC012368.1
ENSG00000237217.1,AC008074.1
ENSG00000234255.9,AC012370.2
ENSG00000281920.1,AC007389.3
ENSG00000273398.6,AC017083.3
ENSG00000273275.1,AC017083.2
ENSG00000273064.1,AC017083.1
ENSG00000231024.1,AC092431.1
ENSG00000229229.1,AC022201.1
ENSG00000235035.1,AC005234.1
ENSG00000258881.6,AC007040.2
ENSG00000228384.4,AC007040.1
ENSG00000236469.1,AC007881.2
ENSG00000272735.1,AC007881.3
ENSG00000273245.1,AC092653.1
ENSG00000217702.3,AC073263.1
ENSG00000264324.1,AC006030.1
ENSG00000159239.13,AC005041.1
ENSG00000272183.1,AC005041.3
ENSG00000236209.1,AC104135.1
ENSG00000270571.2,AC007681.1
ENSG00000231172.2,AC007099.1
ENSG00000270996.1,AC005034.4
ENSG00000287025.1,AC079117.1
ENSG00000227088.2,AC012494.1
ENSG00000230968.1,AC084149.1
ENSG00000277171.1,AC010975.1
ENSG00000237031.7,AC008067.1
ENSG00000230975.1,AC012355.1
ENSG00000231781.1,AC079896.1
ENSG00000237498.3,AC010105.1
ENSG00000228272.1,AC106874.1
ENSG00000229498.1,AC105053.1
ENSG00000272564.1,AC012511.1
ENSG00000273080.1,AC009309.1
ENSG00000228363.2,AC015971.1
ENSG00000225420.1,AC104134.1
ENSG00000287686.1,AC062029.1
ENSG00000261600.1,AC233266.2
ENSG00000233757.6,AC092835.1
ENSG00000272913.1,AC009237.14
ENSG00000273305.1,AC009237.15
ENSG00000230747.1,AC021188.1
ENSG00000235480.1,AC013270.1
ENSG00000277701.5,AC159540.2
ENSG00000230606.11,AC092683.1
ENSG00000278766.2,AC092683.2
ENSG00000222000.7,AC092675.1
ENSG00000241962.9,AC079447.1
ENSG00000273306.1,AC018690.1
ENSG00000230393.1,AC092667.1
ENSG00000228488.1,AC092168.1
ENSG00000287771.1,AC007271.1
ENSG00000229209.1,AC073987.1
ENSG00000230690.2,AC013402.1
ENSG00000287135.1,AC010884.1
ENSG00000272861.1,AC012360.2
ENSG00000235319.1,AC012360.1
ENSG00000238273.3,AC108058.1
ENSG00000235522.6,AC010978.1
ENSG00000233339.1,AC018878.1
ENSG00000227294.1,AC016994.1
ENSG00000225588.2,AC096669.1
ENSG00000282033.1,AC074387.1
ENSG00000284337.1,AC013271.1
ENSG00000257207.5,AC112229.3
ENSG00000270190.1,AC068491.2
ENSG00000228251.1,AC012442.1
ENSG00000237753.2,AC079922.2
ENSG00000234997.2,AC016745.1
ENSG00000272563.1,AC016745.2
ENSG00000227359.1,AC017074.1
ENSG00000244063.1,AC104653.2
ENSG00000228857.2,AC104653.1
ENSG00000270019.1,AC110769.2
ENSG00000238207.2,AC009312.1
ENSG00000236255.2,AC009404.1
ENSG00000235066.7,AC009303.2
ENSG00000224789.1,AC012363.1
ENSG00000229774.1,AC018866.1
ENSG00000265451.1,AC012447.1
ENSG00000228400.2,AC079154.1
ENSG00000260634.1,AC012508.2
ENSG00000260163.1,AC012508.1
ENSG00000286145.2,AC068282.1
ENSG00000231731.7,AC010976.1
ENSG00000272667.1,AC012306.2
ENSG00000225819.1,AC013269.2
ENSG00000232408.1,AC140481.2
ENSG00000229797.2,AC140481.1
ENSG00000233221.7,AC133785.1
ENSG00000284604.1,AC073869.5
ENSG00000283303.1,AC073869.3
ENSG00000272769.1,AC097532.2
ENSG00000228043.5,AC114763.1
ENSG00000241772.2,AC092620.1
ENSG00000226939.1,AC062021.1
ENSG00000257284.1,AC013437.1
ENSG00000228655.7,AC079793.1
ENSG00000283994.1,AC092652.2
ENSG00000257277.2,AC092652.1
ENSG00000257226.2,AC079584.2
ENSG00000236356.1,AC079584.1
ENSG00000232377.1,AC016910.1
ENSG00000275372.1,AC009951.2
ENSG00000235435.1,AC096666.1
ENSG00000222031.1,AC023469.1
ENSG00000236885.2,AC018731.1
ENSG00000283228.1,AC068547.1
ENSG00000225214.1,AC079790.1
ENSG00000224675.1,AC009227.1
ENSG00000287900.1,AC061961.1
ENSG00000234584.1,AC019186.1
ENSG00000231675.1,AC005042.2
ENSG00000223642.7,AC008277.1
ENSG00000224152.1,AC009506.1
ENSG00000226266.6,AC009961.1
ENSG00000232337.1,AC009313.1
ENSG00000236841.8,AC007750.1
ENSG00000237844.2,AC016766.1
ENSG00000236283.5,AC019197.1
ENSG00000235192.1,AC009495.3
ENSG00000229195.1,AC009495.1
ENSG00000228222.1,AC073050.1
ENSG00000251569.1,AC093899.2
ENSG00000213981.8,AC007277.1
ENSG00000234350.5,AC007405.1
ENSG00000239467.6,AC007405.3
ENSG00000232555.2,AC104088.1
ENSG00000278924.1,AC078883.3
ENSG00000225205.5,AC078883.1
ENSG00000270460.1,AC106900.1
ENSG00000237798.1,AC010894.3
ENSG00000229066.2,AC093459.1
ENSG00000235047.1,AC016751.2
ENSG00000272551.1,AC017048.3
ENSG00000230552.6,AC092162.2
ENSG00000236501.6,AC074286.1
ENSG00000271996.1,AC019080.4
ENSG00000237655.1,AC073834.1
ENSG00000270277.1,AC009948.1
ENSG00000237477.1,AC093911.1
ENSG00000225258.1,AC009478.1
ENSG00000238171.1,AC068196.1
ENSG00000260742.1,AC009962.1
ENSG00000221498.1,AC064871.1
ENSG00000272800.3,AC021851.1
ENSG00000234172.1,AC093639.1
ENSG00000283839.1,AC096667.1
ENSG00000259915.2,AC017071.1
ENSG00000227227.1,AC017101.1
ENSG00000224063.6,AC007319.1
ENSG00000273240.1,AC013468.1
ENSG00000233654.2,AC108047.1
ENSG00000228509.6,AC006460.1
ENSG00000227542.1,AC092614.1
ENSG00000235056.1,AC010983.1
ENSG00000224099.2,AC104823.1
ENSG00000271893.1,AC064834.1
ENSG00000272211.1,AC114760.2
ENSG00000222017.1,AC011997.1
ENSG00000225421.2,AC019330.1
ENSG00000231557.1,AC020718.1
ENSG00000257045.1,AC016746.1
ENSG00000183308.6,AC005037.1
ENSG00000273209.1,AC069148.1
ENSG00000231903.1,AC079354.1
ENSG00000286223.1,AC064836.3
ENSG00000273456.1,AC064836.2
