gene_name,amyloid,gpath,tangles,cogdx,n_traits_DE
UNC80,TRUE,TRUE,TRUE,TRUE,4
FN1,TRUE,TRUE,TRUE,TRUE,4
CUL3,TRUE,TRUE,TRUE,TRUE,4
IRS1,TRUE,TRUE,TRUE,TRUE,4
PSMD1,TRUE,TRUE,TRUE,TRUE,4
RAMP1,TRUE,TRUE,TRUE,TRUE,4
HES6,TRUE,TRUE,TRUE,TRUE,4
COPS9,TRUE,TRUE,TRUE,TRUE,4
KIF1A,TRUE,TRUE,TRUE,TRUE,4
HDLBP,TRUE,TRUE,TRUE,TRUE,4
BRPF1,TRUE,TRUE,TRUE,TRUE,4
TBC1D5,TRUE,TRUE,TRUE,TRUE,4
UBE2E2,TRUE,TRUE,TRUE,TRUE,4
RARB,TRUE,TRUE,TRUE,TRUE,4
TOP2B,TRUE,TRUE,TRUE,FALSE,3
NGLY1,TRUE,TRUE,TRUE,FALSE,3
CMC1,TRUE,TRUE,TRUE,TRUE,4
CMTM6,TRUE,TRUE,TRUE,TRUE,4
EIF1B,TRUE,TRUE,TRUE,TRUE,4
RPL14,TRUE,TRUE,TRUE,TRUE,4
TRAK1,TRUE,TRUE,TRUE,FALSE,3
CCK,TRUE,TRUE,TRUE,TRUE,4
KIF15,TRUE,TRUE,TRUE,TRUE,4
CCDC12,TRUE,TRUE,TRUE,TRUE,4
KIF9,TRUE,TRUE,TRUE,TRUE,4
PLXNB1,TRUE,TRUE,TRUE,TRUE,4
TMA7,TRUE,TRUE,TRUE,TRUE,4
IMPDH2,TRUE,TRUE,TRUE,TRUE,4
RPL29,TRUE,TRUE,TRUE,TRUE,4
PDHB,TRUE,TRUE,TRUE,TRUE,4
FRMD4B,TRUE,TRUE,TRUE,TRUE,4
RYBP,TRUE,TRUE,TRUE,TRUE,4
CADM2,TRUE,TRUE,TRUE,TRUE,4
RPL24,TRUE,TRUE,TRUE,TRUE,4
ALCAM,TRUE,TRUE,TRUE,TRUE,4
LINC00882,TRUE,TRUE,TRUE,TRUE,4
LSAMP,TRUE,TRUE,TRUE,TRUE,4
LINC00903,TRUE,TRUE,TRUE,TRUE,4
GSK3B,TRUE,TRUE,FALSE,TRUE,3
GOLGB1,TRUE,TRUE,TRUE,TRUE,4
IQCB1,TRUE,TRUE,TRUE,FALSE,3
EAF2,TRUE,TRUE,TRUE,TRUE,4
KPNA1,TRUE,TRUE,TRUE,TRUE,4
EEFSEC,TRUE,TRUE,TRUE,TRUE,4
NUDT16,TRUE,TRUE,TRUE,TRUE,4
RAB6B,TRUE,TRUE,TRUE,TRUE,4
NME9,TRUE,TRUE,TRUE,TRUE,4
TFDP2,TRUE,TRUE,TRUE,TRUE,4
RNF13,TRUE,TRUE,TRUE,TRUE,4
MBNL1,TRUE,TRUE,TRUE,TRUE,4
GMPS,TRUE,TRUE,TRUE,FALSE,3
